sku;descricao;quantidade;valor_unitario;custo_unitario
PLC-057;Placa de Som USB;15;25,00;5,00
CAB-058;Cabo VGA 1.8m;10;15,00;14,00
CAB-059;Cabo DisplayPort;12;50,00;20,00
ADA-060;Adaptador DVI para HDMI;8;20,00;5,00
ORG-061;Organizador de Cabos (m);50;5,00;1,00
LIM-062;Limpa Telas Spray;40;15,00;4,00
AR-063;Ar Comprimido Spray;20;35,00;28,00
KIT-064;Kit Ferramentas Precisão;10;60,00;25,00
PUL-065;Pulseira Antiestática;15;25,00;8,00
MAN-066;Manta Antiestática;5;80,00;40,00
LUV-067;Luva Nitrílica (Cx);2;40,00;35,00
ISO-068;Álcool Isopropílico 1L;12;45,00;20,00
COT-069;Cotonete Precisão;20;10,00;2,00
PIN-070;Pinça Curva;25;15,00;3,00
LUP-071;Lupa de Bancada LED;3;180,00;110,00
FER-072;Ferro de Solda 60W;8;50,00;25,00
SUG-073;Sugador de Solda;10;20,00;5,00
EST-074;Estanho para Solda;15;40,00;25,00
MUL-075;Multímetro Digital;6;60,00;30,00
FON-076;Fonte Ajustável Bancada;1;350,00;250,00
OSC-077;Osciloscópio Portátil;1;800,00;700,00
ARD-078;Placa Arduino Uno;20;80,00;35,00
RAS-079;Raspberry Pi 4;5;650,00;500,00
SEN-080;Sensor de Presença;30;15,00;4,00
REL-081;Módulo Relé 4 Canais;25;25,00;10,00
JUM-082;Jumpers Macho-Fêmea;50;10,00;2,00
PRO-083;Protoboard 830 Pontos;20;30,00;12,00
LED-084;Kit LEDs Variados;40;25,00;5,00
RES-085;Kit Resistores;35;20,00;3,00
CAP-086;Kit Capacitores;30;25,00;4,00
TRA-087;Transistor NPN;100;1,00;0,80
DIO-088;Diodo Retificador;100;0,50;0,10
BOT-089;Botão Push Button;80;2,00;0,30
POT-090;Potenciômetro 10k;40;5,00;1,50
DIS-091;Display LCD 16x2;15;35,00;15,00
SER-092;Micro Servo Motor;20;25,00;10,00
MOT-093;Motor DC com Roda;18;30,00;12,00
BAT-094;Suporte Pilha AA;40;5,00;1,00
CHA-095;Chassi Robô 2 Rodas;5;120,00;60,00
MOD-096;Módulo Bluetooth HC-05;12;40,00;15,00
ESP-097;Placa ESP32 Wifi;15;70,00;35,00
CAM-098;Câmera para Raspberry;4;90,00;40,00
DIS-099;Dissipador de Calor;50;5,00;1,00
CXO-100;Caixa Organizadora P;30;15,00;14,00
